Pulls	Probability
1	0.00000000000000000000
2	0.00000000000000000000
3	0.00000000000000000000
4	0.00000000000000000000
5	0.00000000000000000000
6	0.00000000000000409600
7	0.00000000000002447770
8	0.00000000000008532925
9	0.00000000000022663448
10	0.00000000000050788788
11	0.00000000000101171265
12	0.00000000000184738730
13	0.00000000000315428186
14	0.00000000000510520519
15	0.00000000000790966458
16	0.00000000001181703888
17	0.00000000001711966651
18	0.00000000002415584944
19	0.00000000003331277452
20	0.00000000004502935322
21	0.00000000005979898107
22	0.00000000007817221801
23	0.00000000010075939065
24	0.00000000012823311783
25	0.00000000016133076046
26	0.00000000020085679677
27	0.00000000024768512424
28	0.00000000030276128914
29	0.00000000036710464485
30	0.00000000044181044008
31	0.00000000052805183798
32	0.00000000062708186729
33	0.00000000074023530645
34	0.00000000086893050188
35	0.00000000101467112123
36	0.00000000117904784286
37	0.00000000136373998238
38	0.00000000157051705721
39	0.00000000180124029034
40	0.00000000205786405406
41	0.00000000234243725467
42	0.00000000265710465922
43	0.00000000300410816499
44	0.00000000338578801290
45	0.00000000380458394557
46	0.00000000426303631101
47	0.00000000476378711281
48	0.00000000530958100773
49	0.00000000590326625157
50	0.00000000654779559413
51	0.00000000724622712417
52	0.00000000800172506521
53	0.00000000881756052292
54	0.00000000969711218508
55	0.00000001064386697474
56	0.00000001166142065753
57	0.00000001275347840381
58	0.00000001392385530656
59	0.00000001517647685565
60	0.00000001651537936935
61	0.00000001794471038387
62	0.00000001946872900147
63	0.00000002109180619822
64	0.00000002281842509183
65	0.00000002465318117040
66	0.00000002660078248286
67	0.00000002866604979169
68	0.00000003085391668870
69	0.00000003316942967448
70	0.00000003561774820232
71	0.00000003820423581476
72	0.00000004093462998008
73	0.00000004381526651126
74	0.00000004685332759468
75	0.00000005005708215929
76	0.00000005343609329224
77	0.00000005700137750017
78	0.00000006076551166910
79	0.00000006474269263541
80	0.00000006894875959810
81	0.00000007340119099812
82	0.00000007811908601418
83	0.00000008312313800863
84	0.00000008843560441452
85	0.00000009408027562676
86	0.00000010008244330156
87	0.00000010646886899222
88	0.00000011326775311889
89	0.00000012050870426997
90	0.00000012822270883272
91	0.00000013644210095068
92	0.00000014520053280558
93	0.00000015453294522140
94	0.00000016447553858817
95	0.00000017506574410326
96	0.00000018634219532778
97	0.00000019834470005585
98	0.00000021111421249433
99	0.00000022469280575090
100	0.00000023912364462799
101	0.00000025445095872055
102	0.00000027072001581518
103	0.00000028797709558854
104	0.00000030626946360270
105	0.00000032564534559529
106	0.00000034615390206222
107	0.00000036784520313073
108	0.00000039077020372064
109	0.00000041498071899163
110	0.00000044052940007427
111	0.00000046746971008287
112	0.00000049585590040773
113	0.00000052574298728493
114	0.00000055718672864132
115	0.00000059024360121274
116	0.00000062497077793329
117	0.00000066142610559363
118	0.00000069966808276619
119	0.00000073975583799517
120	0.00000078174910824946
121	0.00000082570821763616
122	0.00000087169405637292
123	0.00000091976806001695
124	0.00000096999218894867
125	0.00000102242925489937
126	0.00000107714289166100
127	0.00000113419752618789
128	0.00000119365835008680
129	0.00000125559129149162
130	0.00000132006298731919
131	0.00000138714075590265
132	0.00000145689256999881
133	0.00000152938703016597
134	0.00000160469333850882
135	0.00000168288127278683
136	0.00000176402200563359
137	0.00000184819040526271
138	0.00000193546903831014
139	0.00000202595358706026
140	0.00000211975894290657
141	0.00000221702498053811
142	0.00000231792102486526
143	0.00000242264828041552
144	0.00000253143990992974
145	0.00000264455889608278
146	0.00000276229417812155
147	0.00000288495575082566
148	0.00000301286943372203
149	0.00000314637190097145
150	0.00000328580637361479
151	0.00000343151915852038
152	0.00000358385705706950
153	0.00000374316554905804
154	0.00000390978759901875
155	0.00000408406292062035
156	0.00000426632755288406
157	0.00000445691363364770
158	0.00000465614928922247
159	0.00000486435858780273
160	0.00000508186152541708
161	0.00000530897402729838
162	0.00000554600795602812
163	0.00000579327112246027
164	0.00000605106729775589
165	0.00000631969622587989
166	0.00000659945363639708
167	0.00000689063125747760
168	0.00000719351682910771
169	0.00000750839411650204
170	0.00000783554292371331
171	0.00000817523910743577
172	0.00000852775459099843
173	0.00000889335737854432
174	0.00000927231156939208
175	0.00000966487737257608
176	0.00001007131112156153
177	0.00001049186528913083
178	0.00001092678850243762
179	0.00001137632555822500
180	0.00001184071743820437
181	0.00001232020132459146
182	0.00001281501061579601
183	0.00001332537494226185
184	0.00001385152018245389
185	0.00001439366847898876
186	0.00001495203825490577
187	0.00001552684423007495
188	0.00001611829743773899
189	0.00001672660524118582
190	0.00001735197778004437
191	0.00001799463352460152
192	0.00001865480311336946
193	0.00001933273099497525
194	0.00002002867485951874
195	0.00002074290328703482
196	0.00002147569233011954
197	0.00002222732181352378
198	0.00002299807199067390
199	0.00002378822093130705
200	0.00002459804273668572
201	0.00002542781065234009
202	0.00002627781174795356
203	0.00002714837957839747
204	0.00002803994765973613
205	0.00002895312040496798
206	0.00002988875159737010
207	0.00003084801538304797
208	0.00003183245348070596
209	0.00003284398531456620
210	0.00003388487443657658
211	0.00003495765307714079
212	0.00003606501464812558
213	0.00003720968952397624
214	0.00003839432133372539
215	0.00003962135931313512
216	0.00004089297776244298
217	0.00004221102790789415
218	0.00004357702182678905
219	0.00004499214368075426
220	0.00004645728088764172
221	0.00004797306709070133
222	0.00004953992949741061
223	0.00005115813480064204
224	0.00005282782988792689
225	0.00005454907543292925
226	0.00005632187196526744
227	0.00005814617902239819
228	0.00006002192852435547
229	0.00006194903367920612
230	0.00006392739464983639
231	0.00006595690200881058
232	0.00006803743876329676
233	0.00007016888150325641
234	0.00007235110103920195
235	0.00007458396275769232
236	0.00007686732682861861
237	0.00007920104833863535
238	0.00008158497738966404
239	0.00008401895918167477
240	0.01621664548628656536
241	0.00051393770967606174
242	0.00052379146323596962
243	0.00053366357075933136
244	0.00054355309523858290
245	0.00055345910780073521
246	0.00056338068767513134
247	0.00057331692216110681
248	0.00058326690659555664
249	0.00059322974432041185
250	0.00060320454665002823
251	0.00061319043283849052
252	0.00062318653004683465
253	0.00063319197331019093
254	0.00064321305765902808
255	0.00065326864450679544
256	0.00066339206209498839
257	0.00067362870619056530
258	0.00068402982102266035
259	0.00069464408499946840
260	0.00070550923829999002
261	0.00071664587088457159
262	0.00072805472523395808
263	0.00073971777863069176
264	0.00075160235851289135
265	0.00076366789283310548
266	0.00077587531866097866
267	0.00078819914431987549
268	0.00080064143836771696
269	0.00081324552416802631
270	0.00082610617716884787
271	0.00083937226961324604
272	0.00085323865951869564
273	0.00086792620448529089
274	0.00088365173045929699
275	0.00090059270542960860
276	0.00091885330355422859
277	0.00093843883441717305
278	0.00095924401642927222
279	0.00098105771631000586
280	0.00100358332081380525
281	0.00102647081807172146
282	0.00104935465461540991
283	0.00107189087454502813
284	0.00109378789453081569
285	0.00111482712888055046
286	0.00113487198960293881
287	0.00115386596828852429
288	0.00117182213642694335
289	0.00118880726353311064
290	0.00120492385338861165
291	0.00122029290478263932
292	0.00123503936300700425
293	0.00124928129388395595
294	0.00126312298137800483
295	0.00127665154129921436
296	0.00128993629350289697
297	0.00130303001929470691
298	0.00131597128831115236
299	0.00132878719831543166
300	0.00134149606796750636
301	0.00135410981002246098
302	0.00136663586382599830
303	0.00137907867183998267
304	0.00139144074765232648
305	0.00140372341138112746
